# Simulation 1 (Up to date)
# 0,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.23,2.006,17.609,71.455,17.609,71.455,0,0,0,0,0,0,28.61,-80.6,9.792,7.174,0,0,0,7762.134,880.134,2.005,6.965e-4,NaN,123.321,NaN,0.052,2.507e6,636.362,5.709,3.235,3.608,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.216,14.987,1013.015,340.381,0.01,0.021
0.24,2.186,18.32,71.042,18.32,71.042,0,0,0,0,0,0,28.61,-80.6,9.792,6.872,0,0,0,7759.146,877.146,2.003,6.96e-4,NaN,123.291,NaN,0.054,2.607e6,633.335,6.128,3.235,3.582,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.208,14.986,1012.994,340.38,0.01,0.021
0.25,2.372,19.026,70.638,19.026,70.638,0,0,0,0,0,0,28.61,-80.6,9.792,6.593,0,0,0,7756.158,874.158,2.001,6.954e-4,NaN,123.261,NaN,0.056,2.706e6,630.388,6.56,3.235,3.56,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.199,14.985,1012.972,340.38,0.01,0.022
0.26,2.566,19.729,70.232,19.729,70.232,0,0,0,0,0,0,28.61,-80.6,9.792,6.307,0,0,0,7753.17,871.17,1.999,6.949e-4,NaN,123.231,NaN,0.058,2.804e6,627.44,7,3.235,3.537,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,10.22,82.034,90,0,2.181,14.983,1012.949,340.379,0.01,0.023
0.27,2.767,20.427,69.824,20.427,69.824,0,0,0,0,0,0,28.61,-80.6,9.792,6.042,0,0,0,7750.182,868.182,1.997,6.944e-4,NaN,123.201,NaN,0.06,2.902e6,624.492,7.452,3.235,3.516,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,10.22,82.034,90,0,2.162,14.982,1012.925,340.378,0.01,0.023
0.28,2.975,21.121,69.345,21.121,69.345,0,0,0,0,0,0,28.61,-80.6,9.792,5.796,0,0,0,7747.257,865.257,1.996,6.938e-4,NaN,123.171,NaN,0.062,2.999e6,621.01,7.916,3.235,3.497,0.312,0.003,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,10.22,82.034,90,0,2.144,14.981,1012.901,340.377,0.01,0.024
0.29,3.189,21.807,68.58,21.807,68.58,0,0,0,0,0,0,28.61,-80.6,9.792,5.567,0,0,0,7744.374,862.374,1.994,6.933e-4,NaN,123.142,NaN,0.064,3.095e6,615.333,8.39,3.235,3.479,0.312,0.003,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,10.22,82.034,90,0,2.126,14.979,1012.876,340.376,0.01,0.024
0.3,3.411,22.485,67.783,22.485,67.783,0,0,0,0,0,0,28.61,-80.6,9.792,5.354,0,0,0,7741.491,859.491,1.992,6.928e-4,NaN,123.113,NaN,0.066,3.19e6,609.419,8.872,3.235,3.463,0.312,0.003,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,10.22,82.034,90,0,2.107,14.978,1012.85,340.375,0.01,0.025
0.31,3.639,23.155,66.984,23.155,66.984,0,0,0,0,0,0,28.61,-80.6,9.792,5.152,0,0,0,7738.608,856.608,1.99,6.923e-4,NaN,123.084,NaN,0.068,3.284e6,603.504,9.363,3.235,3.449,0.312,0.003,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,10.22,82.034,90,0,2.088,14.976,1012.823,340.375,0.01,0.025
0.325,3.994,24.145,65.977,24.145,65.979,-5.834e-5,0,5.834e-5,-180,0.008,0.521,28.61,-80.6,9.792,4.853,0,0.332,1.032e-5,7734.292,852.292,1.988,6.915e-4,142.427,123.04,1.897,0.071,3.423e6,596.126,10.108,3.235,3.427,0.312,0.003,0.121,1.366,2.591,-1.631e-4,0,0,0,0,1.496e-4,0.003,10.22,82.034,89.998,0.003,2.059,14.974,1012.782,340.373,0.015,0.026
