# Simulation 1 (Up to date)
# 0,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
2.971,140.345,80.937,43.772,81.064,43.955,3.483,7.809e-4,3.483,0.013,4.533,4.008,28.61,-80.6,9.792,0.271,-8.349e-6,5.342,-0.036,4912.231,310.231,0.108,4.155e-4,107.819,86.055,2.13,0.239,8.013e6,321.425,57.568,1.759,1.76,0.229,0.003,0.127,0.038,0.079,-1.589e-5,0,0,0,0,0.003,0.01,10.22,82.034,85.441,0.025,2.309,14.088,996.79,339.836,0.025,0.064
2.999,142.665,82.151,42.515,82.283,42.723,3.614,8.187e-4,3.614,0.013,4.649,4.204,28.61,-80.6,9.792,0.15,5.443e-5,8.454,-0.063,4907.701,305.701,0.106,4.147e-4,107.973,86.003,2.15,0.243,8.133e6,316.848,59.306,1.759,1.76,0.229,0.003,0.128,0.021,0.039,-2.69e-4,0,0,0,0,0.006,0.011,10.22,82.034,85.236,0.027,2.412,14.073,996.518,339.827,0.028,0.065
3.042,146.208,83.918,41.123,84.058,41.392,3.816,8.806e-4,3.816,0.013,4.839,4.712,28.61,-80.6,9.792,0.183,-1.663e-4,-6.472,-0.019,4900.945,298.945,0.104,4.135e-4,107.94,85.925,2.154,0.248,8.305e6,312.478,61.874,1.76,1.76,0.229,0.003,0.128,0.026,0.059,-3.058e-4,0,0,0,0,-0.004,0.011,10.22,82.034,84.875,0.011,2.368,14.05,996.102,339.813,0.043,0.065
3.071,148.688,85.093,39.892,85.238,40.188,3.96,9.247e-4,3.96,0.013,4.98,4.868,28.61,-80.6,9.792,0.304,-2.444e-5,-1.906,-0.04,4896.299,294.299,0.102,4.127e-4,107.797,85.871,2.145,0.251,8.421e6,308.067,63.631,1.76,1.76,0.229,0.003,0.128,0.043,0.092,4.646e-4,0,0,0,0,-3.075e-4,0.011,10.22,82.034,84.743,-3.78e-4,2.379,14.034,995.811,339.803,0.029,0.066
3.092,150.427,85.89,39.089,86.04,39.38,4.063,9.55e-4,4.063,0.013,5.078,4.778,28.61,-80.6,9.792,0.278,-3.191e-5,1.974,-0.025,4893.181,291.181,0.101,4.121e-4,107.832,85.835,2.152,0.254,8.499e6,305.151,64.825,1.76,1.761,0.229,0.003,0.128,0.039,0.084,2.853e-4,0,0,0,0,3.238e-4,0.011,10.22,82.034,84.746,-0.007,2.399,14.022,995.607,339.796,0.02,0.066
3.114,152.361,86.753,38.415,86.907,38.68,4.177,9.876e-4,4.177,0.014,5.182,4.527,28.61,-80.6,9.792,0.164,-6.149e-7,5.194,-0.042,4889.764,287.764,0.1,4.115e-4,107.975,85.796,2.17,0.256,8.583e6,302.885,66.123,1.76,1.76,0.229,0.003,0.129,0.023,0.048,-3.868e-4,0,0,0,0,0.002,0.011,10.22,82.034,84.832,-0.009,2.416,14.01,995.381,339.789,0.022,0.067
3.148,155.298,88.019,37.502,88.18,37.718,4.354,0.001,4.354,0.014,5.325,4.032,28.61,-80.6,9.792,0.067,-1.036e-4,-5.675,-0.079,4884.638,282.638,0.099,4.105e-4,108.1,85.736,2.188,0.26,8.707e6,299.919,68.059,1.76,1.76,0.228,0.003,0.129,0.009,0.023,-3.929e-4,0,0,0,0,-0.003,0.011,10.22,82.034,85.037,-0.004,2.441,13.991,995.036,339.777,0.034,0.067
3.198,159.744,89.836,36.055,90.005,36.246,4.625,0.001,4.625,0.014,5.511,3.715,28.61,-80.6,9.792,0.156,-1.424e-4,0.622,-0.052,4877.232,275.232,0.096,4.092e-4,107.999,85.65,2.187,0.265,8.883e6,295.225,70.881,1.761,1.761,0.228,0.003,0.129,0.022,0.048,-4.565e-4,0,0,0,0,2.938e-5,0.012,10.22,82.034,85.187,0.016,2.391,13.962,994.515,339.76,0.05,0.068
3.223,161.99,90.701,34.7,90.874,34.888,4.763,0.001,4.763,0.014,5.599,3.613,28.61,-80.6,9.792,0.143,-1.411e-5,3.765,-0.024,4873.668,271.668,0.095,4.086e-4,108.019,85.608,2.193,0.268,8.968e6,289.803,72.245,1.761,1.761,0.228,0.003,0.129,0.02,0.042,4.165e-4,0,0,0,0,0.001,0.012,10.22,82.034,85.129,0.021,2.36,13.947,994.251,339.751,0.025,0.068
3.26,165.37,91.943,33.343,92.122,33.564,4.973,0.001,4.973,0.014,5.736,3.84,28.61,-80.6,9.792,0.035,-5.851e-5,-4.6,-0.119,4868.369,266.369,0.093,4.076e-4,108.158,85.547,2.212,0.272,9.088e6,285.049,74.213,1.761,1.761,0.228,0.003,0.13,0.005,0.012,2.251e-4,0,0,0,0,-0.002,0.012,10.22,82.034,84.944,0.02,2.327,13.925,993.855,339.738,0.037,0.069
3.31,170.007,93.531,31.496,93.719,31.729,5.265,0.001,5.265,0.014,5.929,3.838,28.61,-80.6,9.792,0.105,-6.712e-5,0.161,-0.03,4861.208,259.208,0.091,4.063e-4,108.078,85.463,2.213,0.276,9.242e6,278.365,76.786,1.761,1.761,0.228,0.003,0.13,0.015,0.033,-2.999e-4,0,0,0,0,1.82e-6,0.012,10.22,82.034,84.803,0.005,2.322,13.895,993.311,339.719,0.05,0.069
3.339,172.759,94.411,29.987,94.604,30.215,5.44,0.001,5.44,0.014,6.04,3.705,28.61,-80.6,9.792,0.109,-3.459e-5,3.394,-0.055,4857.014,255.014,0.089,4.056e-4,108.077,85.413,2.218,0.279,9.327e6,272.274,78.227,1.762,1.762,0.228,0.003,0.13,0.015,0.033,4.774e-4,0,0,0,0,7.915e-4,0.012,10.22,82.034,84.858,-0.001,2.268,13.877,992.988,339.708,0.029,0.07
3.379,176.591,95.546,27.902,95.745,28.088,5.686,0.001,5.686,0.014,6.177,3.228,28.61,-80.6,9.792,0.024,-5.703e-5,-4.102,-0.292,4851.597,249.597,0.088,4.046e-4,108.187,85.35,2.235,0.282,9.435e6,263.632,80.078,1.762,1.762,0.228,0.003,0.13,0.003,0.009,-3.06e-5,0,0,0,0,-0.001,0.012,10.22,82.034,85.046,-0.007,2.157,13.852,992.539,339.693,0.04,0.07
3.429,181.401,96.84,25.67,97.046,25.83,5.999,0.001,5.999,0.014,6.322,2.874,28.61,-80.6,9.792,0.098,-1.252e-4,0.065,-0.091,4845.194,243.194,0.086,4.034e-4,108.102,85.274,2.234,0.286,9.559e6,254.623,82.235,1.762,1.762,0.228,0.003,0.131,0.014,0.03,4.387e-4,0,0,0,0,2.737e-7,0.012,10.22,82.034,85.182,0.007,2.088,13.821,991.975,339.674,0.05,0.071
3.457,184.094,97.523,24.561,97.732,24.717,6.175,0.001,6.175,0.014,6.397,2.774,28.61,-80.6,9.792,0.104,-3.249e-5,3.361,-0.034,4841.646,239.646,0.084,4.028e-4,108.097,85.232,2.237,0.288,9.625e6,250.264,83.391,1.762,1.762,0.228,0.003,0.131,0.015,0.032,2.934e-5,0,0,0,0,7.279e-4,0.013,10.22,82.034,85.131,0.024,2.097,13.803,991.659,339.664,0.028,0.071
3.494,187.73,98.381,22.897,98.596,23.08,6.414,0.002,6.414,0.014,6.5,2.897,28.61,-80.6,9.792,0.016,-1.755e-5,-4.563,-0.326,4837.291,235.291,0.083,4.02e-4,108.211,85.181,2.253,0.291,9.707e6,243.601,84.847,1.762,1.762,0.228,0.003,0.131,0.002,0.006,-2.422e-4,0,0,0,0,-0.001,0.013,10.22,82.034,84.951,0.02,2.159,13.78,991.232,339.649,0.037,0.072
3.544,192.671,99.247,17.033,99.468,17.211,6.743,0.002,6.743,0.014,6.627,2.469,28.61,-80.6,9.792,0.048,-1.449e-4,0.236,0.091,4831.885,229.885,0.081,4.01e-4,108.175,85.116,2.256,0.293,9.789e6,216.495,86.323,1.763,1.763,0.228,0.003,0.131,0.007,0.015,-2.812e-4,0,0,0,0,3.474e-6,0.013,10.22,82.034,84.802,0.009,2.215,13.748,990.653,339.63,0.05,0.072
3.578,196.023,99.613,11.082,99.838,11.25,6.967,0.002,6.967,0.014,6.694,1.936,28.61,-80.6,9.792,0.048,-1.794e-5,2.323,-0.01,4828.426,226.426,0.08,4.004e-4,108.178,85.075,2.261,0.295,9.825e6,188.197,86.968,1.763,1.763,0.228,0.003,0.131,0.007,0.015,9.101e-6,0,0,0,0,3.331e-4,0.013,10.22,82.034,84.847,0.01,2.194,13.726,990.26,339.617,0.034,0.073
3.628,201.006,99.709,1.558,99.937,1.798,7.303,0.002,7.303,0.014,6.744,0.898,28.61,-80.6,9.792,0.063,-1.993e-5,0.287,-0.094,4825.529,223.529,0.079,3.999e-4,108.159,85.041,2.262,0.295,9.828e6,141.995,87.051,1.763,1.763,0.228,0.003,0.131,0.009,0.02,1.24e-4,0,0,0,0,5.059e-6,0.013,10.22,82.034,84.975,0.021,2.169,13.693,989.675,339.597,0.05,0.073
3.669,205.108,99.262,-10.581,99.49,10.581,7.581,0.002,7.581,0.014,6.735,0.119,28.61,-80.6,9.792,0.025,-1.039e-4,2.216,0.111,4823.14,221.14,0.078,3.994e-4,108.204,85.012,2.269,0.293,9.783e6,82.446,86.278,1.763,1.763,0.228,0.003,0.131,0.004,0.008,-1.705e-4,0,0,0,0,3.052e-4,0.013,10.22,82.034,84.937,0.018,2.145,13.667,989.194,339.581,0.041,0.074
3.719,210.048,98.328,-18.557,98.556,18.57,7.917,0.002,7.917,0.014,6.696,0.702,28.61,-80.6,9.792,0.073,-1.344e-5,0.513,-0.106,4822.131,220.131,0.078,3.993e-4,108.141,85,2.264,0.291,9.686e6,42.199,84.59,1.762,1.762,0.228,0.003,0.131,0.01,0.023,-2.353e-4,0,0,0,0,1.665e-5,0.013,10.22,82.034,84.822,-0.006,2.052,13.635,988.615,339.562,0.05,0.074
3.757,213.76,97.505,-21.489,97.732,21.511,8.17,0.002,8.17,0.014,6.66,0.984,28.61,-80.6,9.792,0.053,-7.728e-6,3.184,-0.051,4821.526,219.526,0.078,3.992e-4,108.161,84.993,2.267,0.288,9.602e6,26.555,83.143,1.762,1.762,0.228,0.003,0.131,0.007,0.016,2.784e-4,0,0,0,0,6.53e-4,0.013,10.22,82.034,84.876,-0.007,1.956,13.611,988.18,339.547,0.038,0.075
3.807,218.605,96.308,-23.757,96.533,23.795,8.501,0.002,8.501,0.014,6.595,1.344,28.61,-80.6,9.792,0.085,-9.906e-5,0.433,-0.076,4821.137,219.137,0.078,3.991e-4,108.116,84.989,2.263,0.285,9.481e6,13.436,81.065,1.762,1.762,0.228,0.003,0.131,0.012,0.027,2.529e-4,0,0,0,0,1.238e-5,0.012,10.22,82.034,85.036,0.034,1.955,13.579,987.611,339.528,0.05,0.075
3.84,221.776,95.483,-24.787,95.708,24.831,8.719,0.002,8.719,0.014,6.546,1.483,28.61,-80.6,9.792,0.119,-1.194e-4,3.041,-0.048,4821.02,219.02,0.077,3.991e-4,108.07,84.987,2.259,0.282,9.398e6,7.038,79.67,1.762,1.762,0.228,0.003,0.13,0.017,0.037,3.89e-4,0,0,0,0,6.213e-4,0.012,10.22,82.034,85.008,0.042,2.022,13.558,987.239,339.515,0.033,0.076
3.868,224.446,94.767,-25.423,94.99,25.464,8.902,0.002,8.902,0.014,6.503,1.438,28.61,-80.6,9.791,0.019,-8.748e-5,5.499,-0.175,4820.921,218.921,0.077,3.99e-4,108.191,84.986,2.271,0.28,9.326e6,2.787,78.453,1.762,1.762,0.228,0.003,0.13,0.003,0.004,4.851e-4,0,0,0,0,0.002,0.012,10.22,82.034,84.873,0.022,2.028,13.541,986.926,339.505,0.028,0.076
3.874,225.014,94.611,-25.861,94.834,25.902,8.941,0.002,8.941,0.014,6.494,1.441,28.61,-80.6,9.791,0.017,-9.941e-5,-5.739,-0.189,4820.9,218.9,0.077,3.99e-4,108.192,84.986,2.271,0.28,9.31e6,0.417,78.191,1.762,1.762,0.228,0.003,0.13,0.002,0.008,3.93e-4,0,0,0,0,-0.002,0.012,10.22,82.034,84.838,0.016,2.023,13.537,986.86,339.503,0.006,0.077
3.883,225.865,94.378,-25.871,94.6,25.909,8.999,0.002,8.999,0.014,6.481,1.394,28.61,-80.6,9.791,0.066,-1.047e-4,-5.265,-0.037,4820.9,218.9,0.077,3.99e-4,108.13,84.986,2.265,0.279,9.287e6,0,77.798,1.762,1.762,0.228,0.003,0.13,0.009,0.023,3.593e-4,0,0,0,0,-0.002,0.012,10.22,82.034,84.788,0.006,2.016,13.532,986.76,339.499,0.009,0.078
3.897,227.137,94.029,-25.756,94.251,25.79,9.087,0.002,9.087,0.014,6.463,1.325,28.61,-80.6,9.791,0.126,-9.842e-5,-3.79,-0.034,4820.9,218.9,0.077,3.99e-4,108.055,84.986,2.257,0.278,9.251e6,0,77.216,1.762,1.762,0.228,0.003,0.13,0.018,0.041,-3.084e-4,0,0,0,0,-9.95e-4,0.012,10.22,82.034,84.726,-0.008,2.006,13.524,986.611,339.494,0.014,0.078
3.917,229.037,93.509,-25.578,93.731,25.612,9.217,0.002,9.217,0.014,6.437,1.309,28.61,-80.6,9.791,0.137,-9.05e-5,-0.867,-0.041,4820.9,218.9,0.077,3.99e-4,108.039,84.986,2.256,0.277,9.199e6,0,76.355,1.761,1.762,0.228,0.003,0.13,0.019,0.043,9.906e-5,0,0,0,0,-5.26e-5,0.012,10.22,82.034,84.68,-0.021,2.043,13.511,986.388,339.487,0.02,0.079
3.944,231.612,92.806,-25.33,93.026,25.368,9.395,0.002,9.395,0.014,6.4,1.381,28.61,-80.6,9.791,0.057,-1.111e-4,1.835,-0.076,4820.9,218.9,0.077,3.99e-4,108.134,84.986,2.265,0.275,9.129e6,0,75.196,1.761,1.761,0.228,0.003,0.13,0.008,0.018,-3.09e-4,0,0,0,0,2.393e-4,0.012,10.22,82.034,84.704,-0.022,2.108,13.495,986.086,339.477,0.028,0.079
3.986,235.439,91.763,-24.966,91.982,25.01,9.659,0.002,9.659,0.014,6.34,1.474,28.61,-80.6,9.791,0.063,-1.569e-4,-0.668,-0.049,4820.9,218.9,0.077,3.99e-4,108.122,84.986,2.264,0.271,9.024e6,0,73.491,1.761,1.761,0.228,0.003,0.13,0.009,0.019,2.15e-4,0,0,0,0,-3.239e-5,0.012,10.22,82.034,84.796,0.016,2.143,13.47,985.637,339.462,0.041,0.08
4.036,239.996,90.525,-24.556,90.742,24.595,9.974,0.003,9.974,0.014,6.266,1.386,28.61,-80.6,9.791,0.008,-2.523e-4,2.262,-0.176,4820.9,218.9,0.077,3.99e-4,108.185,84.986,2.27,0.268,8.9e6,0,71.483,1.761,1.761,0.228,0.003,0.129,0.001,0.002,-3.364e-4,0,0,0,0,3.82e-4,0.012,10.22,82.034,84.754,0.045,2.121,13.44,985.102,339.444,0.05,0.08
4.086,244.492,89.307,-24.158,89.522,24.194,10.286,0.003,10.286,0.014,6.198,1.324,28.61,-80.6,9.791,0.031,-2.421e-4,-0.943,0.052,4820.9,218.9,0.077,3.99e-4,108.15,84.986,2.267,0.264,8.777e6,0,69.543,1.761,1.761,0.228,0.003,0.129,0.004,0.01,-3.715e-4,0,0,0,0,-6.827e-5,0.011,10.22,82.034,84.625,0.015,2.137,13.411,984.575,339.426,0.05,0.081
4.136,248.927,88.109,-23.765,88.322,23.804,10.594,0.003,10.594,0.015,6.132,1.362,28.61,-80.6,9.791,0.023,-1.365e-4,0.947,0.131,4820.9,218.9,0.077,3.99e-4,108.156,84.986,2.267,0.261,8.658e6,0,67.678,1.76,1.76,0.228,0.003,0.129,0.003,0.007,3.172e-5,0,0,0,0,7.065e-5,0.011,10.22,82.034,84.569,-0.004,2.263,13.382,984.055,339.408,0.05,0.081
4.186,253.303,86.93,-23.391,87.142,23.427,10.899,0.003,10.899,0.015,6.065,1.303,28.61,-80.6,9.791,0.017,-6.871e-5,-1.786,-0.045,4820.9,218.9,0.077,3.99e-4,108.158,84.986,2.267,0.257,8.54e6,0,65.853,1.76,1.76,0.229,0.003,0.129,0.002,0.006,1.12e-4,0,0,0,0,-2.582e-4,0.011,10.22,82.034,84.506,0.005,2.286,13.354,983.542,339.391,0.05,0.082
4.236,257.621,85.77,-23.025,85.98,23.059,11.2,0.003,11.2,0.015,6.001,1.248,28.61,-80.6,9.791,0.039,-1.257e-4,0.202,0.096,4820.9,218.9,0.077,3.99e-4,108.125,84.986,2.264,0.254,8.423e6,0,64.072,1.76,1.76,0.229,0.003,0.128,0.005,0.012,-2.048e-4,0,0,0,0,3.396e-6,0.011,10.22,82.034,84.464,0.028,2.226,13.325,983.035,339.374,0.05,0.082
4.286,261.881,84.628,-22.664,84.836,22.699,11.499,0.003,11.499,0.015,5.939,1.266,28.61,-80.6,9.791,0.021,-1.075e-4,-0.931,0.086,4820.9,218.9,0.077,3.99e-4,108.144,84.986,2.266,0.251,8.308e6,0,62.348,1.76,1.76,0.229,0.003,0.128,0.003,0.007,-1.717e-4,0,0,0,0,-7.404e-5,0.011,10.22,82.034,84.514,0.023,2.207,13.298,982.536,339.357,0.05,0.083
4.336,266.084,83.503,-22.318,83.71,22.351,11.794,0.003,11.794,0.015,5.876,1.228,28.61,-80.6,9.791,0.018,-9.769e-5,0.486,-0.031,4820.9,218.9,0.077,3.99e-4,108.142,84.986,2.266,0.247,8.195e6,0,60.669,1.76,1.76,0.229,0.003,0.128,0.002,0.005,3.058e-4,0,0,0,0,2.07e-5,0.011,10.22,82.034,84.544,7.884e-5,2.15,13.27,982.043,339.341,0.05,0.083
4.386,270.231,82.396,-21.983,82.601,22.015,12.087,0.003,12.087,0.015,5.816,1.18,28.61,-80.6,9.791,0.002,-8.366e-5,-0.441,-0.201,4820.9,218.9,0.077,3.99e-4,108.157,84.986,2.267,0.244,8.084e6,0,59.04,1.76,1.76,0.229,0.003,0.128,3.406e-4,9.172e-4,4.663e-4,0,0,0,0,-1.753e-5,0.011,10.22,82.034,84.513,0.007,2.101,13.243,981.556,339.324,0.05,0.084
4.436,274.324,81.305,-21.656,81.508,21.688,12.376,0.003,12.376,0.015,5.757,1.176,28.61,-80.6,9.791,0.018,-7.657e-5,0.831,0.013,4820.9,218.9,0.077,3.99e-4,108.133,84.986,2.265,0.241,7.975e6,0,57.47,1.759,1.759,0.229,0.003,0.128,0.003,0.005,-1.098e-4,0,0,0,0,6.384e-5,0.01,10.22,82.034,84.472,0.017,2.135,13.217,981.076,339.308,0.05,0.084
4.486,278.362,80.23,-21.342,80.432,21.371,12.662,0.003,12.662,0.015,5.699,1.12,28.61,-80.6,9.791,0.022,-1.179e-4,-1.198,-0.017,4820.9,218.9,0.077,3.99e-4,108.124,84.986,2.264,0.238,7.867e6,0,55.937,1.759,1.759,0.229,0.003,0.127,0.003,0.007,4.751e-4,0,0,0,0,-1.364e-4,0.01,10.22,82.034,84.414,0.018,2.117,13.191,980.603,339.292,0.05,0.085
4.536,282.347,79.171,-21.033,79.372,21.062,12.946,0.003,12.946,0.015,5.644,1.114,28.61,-80.6,9.791,0.002,-1.363e-4,-0.03,0.16,4820.9,218.9,0.077,3.99e-4,108.145,84.986,2.266,0.234,7.762e6,0,54.451,1.759,1.759,0.229,0.003,0.127,2.108e-4,6.453e-4,-1.799e-4,0,0,0,0,-8.615e-8,0.01,10.22,82.034,84.384,0.004,2.13,13.165,980.135,339.277,0.05,0.085
4.586,286.279,78.126,-20.734,78.326,20.762,13.227,0.004,13.227,0.015,5.589,1.08,28.61,-80.6,9.791,0.01,-1.127e-4,-0.435,0.016,4820.9,218.9,0.077,3.99e-4,108.131,84.986,2.265,0.231,7.657e6,0,53.002,1.759,1.759,0.229,0.003,0.127,0.001,0.003,-1.043e-4,0,0,0,0,-1.895e-5,0.01,10.22,82.034,84.372,0.001,2.101,13.139,979.674,339.261,0.05,0.086
4.636,290.16,77.097,-20.44,77.296,20.47,13.505,0.004,13.505,0.015,5.534,1.116,28.61,-80.6,9.791,0.061,-8.115e-5,0.834,0.019,4820.9,218.9,0.077,3.99e-4,108.063,84.986,2.258,0.228,7.555e6,0,51.608,1.759,1.759,0.229,0.003,0.127,0.009,0.019,1.301e-4,0,0,0,0,7.156e-5,0.01,10.22,82.034,84.353,0.015,2.181,13.114,979.219,339.246,0.05,0.086
4.686,293.989,76.082,-20.161,76.279,20.189,13.78,0.004,13.78,0.015,5.479,1.055,28.61,-80.6,9.791,0.003,-1.176e-4,-2.586,-0.848,4820.9,218.9,0.077,3.99e-4,108.132,84.986,2.265,0.225,7.454e6,0,50.243,1.759,1.759,0.229,0.003,0.127,3.969e-4,0.002,2.899e-4,0,0,0,0,-7.057e-4,0.01,10.22,82.034,84.247,0.025,2.201,13.089,978.77,339.231,0.05,0.087
4.736,297.768,75.081,-19.89,75.277,19.915,14.053,0.004,14.053,0.016,5.428,0.989,28.61,-80.6,9.791,0.069,-1.144e-4,-0.995,-0.082,4820.9,218.9,0.077,3.99e-4,108.047,84.986,2.256,0.222,7.354e6,0,48.911,1.758,1.758,0.229,0.003,0.126,0.01,0.022,-2.166e-4,0,0,0,0,-1.074e-4,0.01,10.22,82.034,84.132,0.014,2.174,13.065,978.327,339.216,0.05,0.087
4.786,301.498,74.093,-19.621,74.288,19.645,14.323,0.004,14.323,0.016,5.38,0.975,28.61,-80.6,9.791,0.051,-1.797e-4,1.152,0.007,4820.9,218.9,0.077,3.99e-4,108.065,84.986,2.258,0.22,7.255e6,0,47.612,1.758,1.758,0.229,0.003,0.126,0.007,0.016,2.675e-4,0,0,0,0,1.478e-4,0.01,10.22,82.034,84.142,0.004,2.134,13.04,977.889,339.201,0.05,0.088
4.836,305.178,73.119,-19.357,73.313,19.381,14.591,0.004,14.591,0.016,5.332,0.949,28.61,-80.6,9.791,0.03,-2.007e-4,2.221,-0.009,4820.9,218.9,0.077,3.99e-4,108.088,84.986,2.26,0.217,7.157e6,0,46.335,1.758,1.758,0.229,0.003,0.126,0.004,0.009,-3.154e-4,0,0,0,0,5.64e-4,0.009,10.22,82.034,84.253,0.008,1.987,13.016,977.458,339.187,0.05,0.088
4.886,308.81,72.157,-19.096,72.351,19.123,14.856,0.004,14.856,0.016,5.283,1.027,28.61,-80.6,9.791,0.133,-1.192e-4,-1.332,-0.053,4820.9,218.9,0.077,3.99e-4,107.957,84.986,2.248,0.214,7.061e6,0,45.117,1.758,1.758,0.229,0.003,0.126,0.018,0.042,1.107e-4,0,0,0,0,-2.083e-4,0.009,10.22,82.034,84.377,0.025,2.009,12.993,977.032,339.172,0.05,0.089
4.931,312.017,71.309,-18.875,71.501,18.903,15.091,0.004,15.091,0.016,5.236,1.026,28.61,-80.6,9.791,0.153,-1.448e-4,3.385,-0.011,4820.9,218.9,0.077,3.99e-4,107.929,84.986,2.245,0.211,6.977e6,0,44.058,1.758,1.758,0.229,0.003,0.126,0.021,0.046,4.126e-5,0,0,0,0,0.001,0.009,10.22,82.034,84.328,0.037,2.068,12.972,976.656,339.16,0.045,0.089
4.97,314.83,70.564,-18.69,70.755,18.714,15.298,0.004,15.298,0.016,5.196,0.944,28.61,-80.6,9.791,0.029,-1.299e-4,5.559,-0.228,4820.9,218.9,0.077,3.99e-4,108.08,84.986,2.26,0.209,6.904e6,0,43.132,1.758,1.758,0.229,0.003,0.126,0.004,0.006,-3.648e-6,0,0,0,0,0.004,0.009,10.22,82.034,84.129,0.028,2.093,12.954,976.326,339.149,0.04,0.09
5.02,318.335,69.635,-18.463,69.825,18.483,15.557,0.004,15.557,0.016,5.152,0.851,28.61,-80.6,9.791,0.12,-2.169e-4,-2.919,0.017,4820.9,218.9,0.077,3.99e-4,107.964,84.986,2.248,0.206,6.812e6,0,41.999,1.758,1.758,0.229,0.003,0.126,0.017,0.039,-4.283e-4,0,0,0,0,-0.001,0.009,10.22,82.034,83.881,0.012,2.127,12.931,975.915,339.135,0.05,0.091
5.066,321.483,68.8,-18.255,68.99,18.274,15.79,0.004,15.79,0.016,5.115,0.839,28.61,-80.6,9.791,0.124,-1.71e-4,0.196,0.029,4820.9,218.9,0.077,3.99e-4,107.956,84.986,2.248,0.204,6.729e6,0,40.994,1.758,1.758,0.229,0.003,0.125,0.017,0.039,3.158e-4,0,0,0,0,4.936e-6,0.009,10.22,82.034,83.821,0.008,2.166,12.91,975.545,339.123,0.045,0.091
5.116,324.9,67.893,-18.023,68.082,18.045,16.045,0.005,16.045,0.016,5.072,0.893,28.61,-80.6,9.791,0.01,-1.474e-4,-1.883,-0.135,4820.9,218.9,0.077,3.99e-4,108.095,84.986,2.261,0.201,6.639e6,0,39.91,1.757,1.757,0.229,0.003,0.125,0.001,0.003,6.166e-5,0,0,0,0,-4.696e-4,0.009,10.22,82.034,83.914,0.012,2.179,12.888,975.145,339.109,0.05,0.092
5.166,328.273,66.997,-17.799,67.186,17.824,16.297,0.005,16.297,0.016,5.025,0.944,28.61,-80.6,9.791,0.138,-1.686e-4,0.116,0.001,4820.9,218.9,0.077,3.99e-4,107.933,84.986,2.245,0.199,6.551e6,0,38.862,1.757,1.757,0.229,0.003,0.125,0.019,0.044,-4.077e-4,0,0,0,0,1.844e-6,0.009,10.22,82.034,83.99,0.021,2.218,12.866,974.749,339.096,0.05,0.092
5.214,331.471,66.147,-17.597,66.334,17.62,16.538,0.005,16.538,0.016,4.98,0.904,28.61,-80.6,9.791,0.091,-1.546e-4,3.862,0.037,4820.9,218.9,0.077,3.99e-4,107.988,84.986,2.251,0.196,6.467e6,0,37.874,1.757,1.757,0.229,0.003,0.125,0.013,0.026,-2.32e-4,0,0,0,0,0.002,0.009,10.22,82.034,83.886,0.014,2.234,12.845,974.374,339.083,0.048,0.093
5.264,334.756,65.272,-17.398,65.459,17.416,16.786,0.005,16.786,0.016,4.938,0.793,28.61,-80.6,9.791,0.089,-1.56e-4,-2.611,0.045,4820.9,218.9,0.077,3.99e-4,107.988,84.986,2.251,0.194,6.379e6,0,36.862,1.757,1.757,0.229,0.003,0.125,0.012,0.029,4.963e-4,0,0,0,0,-9.762e-4,0.008,10.22,82.034,83.682,0.008,2.157,12.824,973.989,339.07,0.05,0.093
5.314,337.998,64.407,-17.196,64.594,17.214,17.032,0.005,17.032,0.017,4.899,0.788,28.61,-80.6,9.791,0.081,-1.319e-4,-0.229,0.024,4820.9,218.9,0.077,3.99e-4,107.994,84.986,2.251,0.191,6.294e6,0,35.891,1.757,1.757,0.229,0.003,0.125,0.011,0.025,1.703e-4,0,0,0,0,-7.729e-6,0.008,10.22,82.034,83.6,0.014,2.213,12.803,973.608,339.058,0.05,0.094
5.364,341.197,63.553,-16.994,63.738,17.014,17.276,0.005,17.276,0.017,4.858,0.839,28.61,-80.6,9.791,0.041,-1.626e-4,0.474,-0.018,4820.9,218.9,0.077,3.99e-4,108.042,84.986,2.256,0.189,6.211e6,0,34.95,1.757,1.757,0.229,0.003,0.125,0.006,0.013,4.582e-4,0,0,0,0,3.395e-5,0.008,10.22,82.034,83.613,0.021,2.316,12.782,973.233,339.045,0.05,0.094
