# Simulation 2 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 889 data points written for 53 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,0.034,2.367,84.067,2.367,84.067,0,0,0,0,0,0,52.671,-1.525,9.813,63.3,0,0,0,648.583,0.038,1.58E-04,NaN,45.87,NaN,0.015,2.98E+05,60.891,0.003,0.653,0.121,0.506,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09E-04,4.111,13.273,90,0,4.705,14.35,1001.518,339.995,0.002,0.07
0.042,0.039,2.531,82.255,2.531,82.255,0,0,0,0,0,0,52.671,-1.525,9.813,61.729,0,0,0,648.515,0.038,1.58E-04,NaN,45.866,NaN,0.016,3.02E+05,59.711,0.003,0.652,0.14,0.504,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24E-04,4.111,13.273,90,0,4.706,14.35,1001.517,339.995,0.002,0.072
0.044,0.044,2.692,80.443,2.692,80.443,0,0,0,0,0,0,52.671,-1.525,9.813,60.236,0,0,0,648.446,0.038,1.58E-04,NaN,45.863,NaN,0.016,3.07E+05,58.53,0.004,0.65,0.159,0.502,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.38E-04,4.111,13.273,90,0,4.707,14.35,1001.517,339.995,0.002,0.073
0.046,0.049,2.849,78.631,2.849,78.631,0,0,0,0,0,0,52.671,-1.525,9.813,58.82,0,0,0,648.378,0.038,1.58E-04,NaN,45.859,NaN,0.016,3.11E+05,57.349,0.004,0.648,0.179,0.501,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.52E-04,4.111,13.273,90,0,4.708,14.35,1001.516,339.995,0.002,0.075
0.048,0.055,3.003,76.818,3.003,76.818,0,0,0,0,0,0,52.671,-1.525,9.813,57.476,0,0,0,648.309,0.038,1.58E-04,NaN,45.856,NaN,0.016,3.16E+05,56.168,0.005,0.647,0.198,0.499,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.66E-04,4.111,13.273,90,0,4.709,14.35,1001.515,339.995,0.002,0.076
0.05,0.061,3.153,75.005,3.153,75.005,0,0,0,0,0,0,52.671,-1.525,9.813,56.203,0,0,0,648.241,0.038,1.58E-04,NaN,45.852,NaN,0.017,3.21E+05,54.988,0.006,0.645,0.217,0.497,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.79E-04,4.111,13.273,90,0,4.71,14.35,1001.514,339.995,0.002,0.078
0.052,0.068,3.3,73.378,3.3,73.378,0,0,0,0,0,0,52.671,-1.525,9.813,54.994,0,0,0,648.176,0.038,1.58E-04,NaN,45.849,NaN,0.017,3.26E+05,53.929,0.006,0.643,0.236,0.496,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.92E-04,4.111,13.273,90,0,4.711,14.35,1001.514,339.995,0.002,0.081
0.054,0.075,3.445,72.879,3.445,72.879,0,0,0,0,0,0,52.671,-1.525,9.813,53.829,0,0,0,648.116,0.038,1.58E-04,NaN,45.846,NaN,0.017,3.30E+05,53.601,0.007,0.642,0.255,0.494,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.05E-04,4.111,13.273,90,0,4.712,14.35,1001.513,339.995,0.002,0.083
0.056,0.082,3.59,72.568,3.59,72.568,0,0,0,0,0,0,52.671,-1.525,9.813,52.702,0,0,0,648.056,0.038,1.58E-04,NaN,45.843,NaN,0.017,3.35E+05,53.395,0.008,0.64,0.274,0.492,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.18E-04,4.111,13.273,90,0,4.714,14.349,1001.512,339.995,0.002,0.084
0.058,0.089,3.735,72.256,3.735,72.256,0,0,0,0,0,0,52.671,-1.525,9.813,51.614,0,0,0,647.996,0.038,1.58E-04,NaN,45.84,NaN,0.018,3.40E+05,53.189,0.009,0.639,0.292,0.491,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.30E-04,4.111,13.273,90,0,4.715,14.349,1001.511,339.995,0.002,0.086
0.06,0.097,3.879,71.945,3.879,71.945,0,0,0,0,0,0,52.671,-1.525,9.813,50.562,0,0,0,647.936,0.038,1.58E-04,NaN,45.837,NaN,0.018,3.46E+05,52.983,0.009,0.637,0.311,0.489,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.43E-04,4.111,13.273,90,0,4.716,14.349,1001.51,339.995,0.002,0.087
0.062,0.104,4.023,71.939,4.023,71.939,0,0,0,0,0,0,52.671,-1.525,9.813,49.542,0,0,0,647.875,0.038,1.58E-04,NaN,45.834,NaN,0.018,3.51E+05,52.975,0.01,0.635,0.329,0.488,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.56E-04,4.111,13.273,90,0,4.717,14.349,1001.509,339.995,0.002,0.089
0.064,0.113,4.167,72.238,4.167,72.238,0,0,0,0,0,0,52.671,-1.525,9.813,48.548,0,0,0,647.814,0.038,1.58E-04,NaN,45.831,NaN,0.019,3.56E+05,53.165,0.011,0.634,0.346,0.486,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.69E-04,4.111,13.273,90,0,4.718,14.349,1001.508,339.995,0.002,0.093
0.066,0.121,4.312,72.537,4.312,72.537,0,0,0,0,0,0,52.671,-1.525,9.813,47.58,0,0,0,647.753,0.038,1.58E-04,NaN,45.827,NaN,0.019,3.62E+05,53.354,0.012,0.632,0.364,0.484,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.81E-04,4.111,13.273,90,0,4.719,14.349,1001.507,339.995,0.002,0.099
0.068,0.13,4.458,72.836,4.458,72.836,0,0,0,0,0,0,52.671,-1.525,9.813,46.638,0,0,0,647.692,0.038,1.58E-04,NaN,45.824,NaN,0.019,3.67E+05,53.544,0.013,0.63,0.381,0.483,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.94E-04,4.111,13.273,90,0,4.72,14.349,1001.506,339.994,0.002,0.104
0.07,0.139,4.604,73.136,4.604,73.136,0,0,0,0,0,0,52.671,-1.525,9.813,45.72,0,0,0,647.63,0.038,1.58E-04,NaN,45.821,NaN,0.019,3.73E+05,53.734,0.014,0.629,0.398,0.481,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.07E-04,4.111,13.273,90,0,4.721,14.349,1001.505,339.994,0.002,0.105
0.072,0.148,4.751,73.435,4.751,73.435,0,0,0,0,0,0,52.671,-1.525,9.813,44.828,0,0,0,647.569,0.038,1.58E-04,NaN,45.818,NaN,0.02,3.79E+05,53.924,0.015,0.627,0.414,0.479,0.028,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.20E-04,4.111,13.273,90,0,4.723,14.349,1001.504,339.994,0.002,0.107
